latitude,longitude,alt,lat_accuracy,lon_accuracy,alt_accuracy,undulation,sat_used,timestamp
47.986884,-81.848456,362.52301,0.957,0.957,1.738,-38.016998,18,2835800109
47.986884,-81.848456,362.51001,0.957,0.957,1.736,-38.015991,18,2836200109
47.986884,-81.848456,362.506012,0.957,0.957,1.734,-38.015991,18,2836400109
47.986884,-81.848456,362.502014,0.956,0.956,1.732,-38.016998,18,2836600109
47.986884,-81.848457,362.457031,0.955,0.955,1.727,-38.017029,18,2837200109
47.986884,-81.848457,362.447021,0.955,0.955,1.725,-38.016998,18,2837400109
47.986885,-81.848457,362.43103,0.955,0.955,1.723,-38.016022,18,2837600109
47.986885,-81.848457,362.427032,0.955,0.955,1.719,-38.017029,18,2838000109
47.986885,-81.848457,362.392029,0.954,0.954,1.717,-38.016998,18,2838200109
47.986885,-81.848457,362.326019,0.954,0.954,1.712,-38.016998,18,2838800109
47.986885,-81.848457,362.303009,0.954,0.954,1.71,-38.016998,18,2839000109
47.986885,-81.848457,362.289032,0.954,0.954,1.709,-38.016022,18,2839200109
47.986885,-81.848457,362.243011,0.953,0.953,1.706,-38.015991,18,2839600109
47.986885,-81.848458,362.23703,0.953,0.953,1.704,-38.016022,18,2839800109
47.986886,-81.848458,362.231018,0.952,0.952,1.703,-38.016998,18,2840000109
47.986886,-81.848458,362.174011,0.952,0.952,1.7,-38.016998,18,2840400109
47.986886,-81.848458,362.150024,0.951,0.951,1.698,-38.016998,18,2840600109
47.986886,-81.848458,362.14502,0.951,0.951,1.696,-38.016998,18,2840800109
47.986886,-81.848458,362.072021,0.95,0.95,1.693,-38.016998,18,2841200109
47.986886,-81.848458,362.054016,0.95,0.95,1.692,-38.015991,18,2841400109
47.986886,-81.848458,362.012024,0.95,0.95,1.691,-38.016998,18,2841600109
47.986886,-81.848457,361.903015,0.948,0.948,1.686,-38.016998,18,2842200109
47.986886,-81.848457,361.890015,0.947,0.947,1.685,-38.015991,18,2842400109
47.986886,-81.848457,361.872009,0.945,0.945,1.68,-38.015991,18,2843000109
47.986886,-81.848458,361.868011,0.945,0.945,1.679,-38.016998,18,2843200109
47.986886,-81.848458,361.868011,0.944,0.944,1.678,-38.015991,18,2843400109
47.986887,-81.848458,361.861023,0.944,0.944,1.676,-38.016998,18,2843800109
47.986887,-81.848458,361.878021,0.944,0.944,1.675,-38.015991,18,2844000109
47.986887,-81.848458,361.89801,0.944,0.944,1.676,-38.016998,18,2844200109
47.986887,-81.848458,361.948029,0.943,0.943,1.678,-38.016998,18,2844600109
47.986887,-81.848458,361.952026,0.943,0.943,1.68,-38.016998,18,2844800109
47.986887,-81.848458,361.942017,0.943,0.943,1.681,-38.015991,18,2845000109
47.986887,-81.848457,361.922028,0.943,0.943,1.684,-38.016998,18,2845400109
47.986887,-81.848457,361.938019,0.943,0.943,1.685,-38.016998,18,2845600109
47.986887,-81.848457,361.939026,0.942,0.942,1.686,-38.016022,18,2845800109
47.986887,-81.848457,361.927002,0.942,0.942,1.691,-38.015991,18,2846200109
47.986887,-81.848457,361.913025,0.942,0.942,1.69,-38.016998,18,2846400109
47.986887,-81.848457,361.923004,0.942,0.942,1.69,-38.016998,18,2846600109
47.986887,-81.848457,362.001007,0.942,0.942,1.69,-38.016998,18,2847000109
47.986887,-81.848457,362.031006,0.943,0.943,1.691,-38.016998,18,2847200109
47.986887,-81.848457,362.053009,0.943,0.943,1.691,-38.016998,18,2847400109
47.986887,-81.848457,362.078003,0.943,0.943,1.689,-38.016998,18,2847800109
47.986887,-81.848457,362.097015,0.943,0.943,1.688,-38.015991,18,2848000109
47.986887,-81.848457,362.103027,0.942,0.942,1.686,-38.016998,18,2848200109
